Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
26800.0;0.6643321886239443,0.16207051001865586,8.679331700498322e-07
26900.0;0.664285673269183,0.16203696662993866,8.615955053489215e-07
27000.0;0.6642394383682667,0.16200021101562462,8.553400713519879e-07
27100.0;0.6641934787651549,0.16195969026866988,8.491654265133313e-07
27200.0;0.6641477894750267,0.16191476071267047,8.430701591389222e-07
27300.0;0.6641023656773539,0.1618646789245161,8.370528867171676e-07
27400.0;0.6640572027092515,0.16180859582042473,8.311122552655506e-07
27500.0;0.6640122960590988,0.161745556441597,8.252469386916642e-07
27600.0;0.6639676413604244,0.1616745089798664,8.194556381691664e-07
27700.0;0.6639232343860412,0.16159432734044832,8.137370815282785e-07
27800.0;0.6638790710424309,0.16150385173604725,8.080900226601171e-07
27900.0;0.6638351473643604,0.16140195084892742,8.02513240934848e-07
28000.0;0.663791459509729,0.16128760634843373,7.970055406329325e-07
28100.0;0.6637480037546334,0.1611600156842608,7.915657503895335e-07
28200.0;0.663704776488645,0.16101870259246814,7.861927226522912e-07
28300.0;0.663661774210288,0.16086361838742258,7.80885333150379e-07
28400.0;0.6636189935227144,0.1606952136364385,7.756424803765675e-07
28500.0;0.6635764311295641,0.1605144618746847,7.704630850811314e-07
28600.0;0.6635340838310068,0.16032282541721682,7.65346089777185e-07
28700.0;0.6634919485199522,0.16012216590367911,7.602904582574737e-07
28800.0;0.6634500221784283,0.15991461451293937,7.552951751218398e-07
28900.0;0.6634083018741153,0.1597024243524047,7.503592453165584e-07
29000.0;0.6633667847570317,0.15948782824063362,7.454816936830477e-07
29100.0;0.6633254680563636,0.15927291992071532,7.406615645174995e-07
29200.0;0.6632843490774329,0.15905956860627998,7.358979211412865e-07
29300.0;0.6632434251987986,0.15884936877954917,7.311898454795656e-07
29400.0;0.6632026938694819,0.1586436213255131,7.265364376513415e-07
29500.0;0.6631621526063144,0.15844333899014904,7.219368155678958e-07
29600.0;0.6631217989914003,0.15824926838885536,7.17390114541002e-07
29700.0;0.6630816306696894,0.15806192154737334,7.128954868992477e-07
29800.0;0.6630416453466543,0.15788161143580132,7.084521016143746e-07
29900.0;0.6630018407860699,0.15770848758201958,7.040591439356356e-07
30000.0;0.6629622148078868,0.1575425692971645,6.997158150323023e-07
30100.0;0.6629227652861975,0.1573837751789032,6.954213316446419e-07
30200.0;0.6628834901472901,0.15723194836406354,6.91174925743518e-07
30300.0;0.6628443873677842,0.1570868775259846,6.869758441962569e-07
30400.0;0.662805454972848,0.15694831391891337,6.828233484421834e-07
30500.0;0.6627666910344904,0.156815984925401,6.787167141741822e-07
30600.0;0.6627280936699264,0.15668960461559914,6.746552310279131e-07
30700.0;0.6626896610400099,0.1565688818191937,6.70638202278859e-07
30800.0;0.6626513913477361,0.1564535261691408,6.666649445448971e-07
30900.0;0.6626132828368021,0.1563432525195953,6.627347874977126e-07
31000.0;0.6625753337902326,0.1562377840796944,6.58847073578967e-07
31100.0;0.6625375425290592,0.15613685454660473,6.55001157723979e-07
31200.0;0.6624999074110561,0.15604020946872943,6.511964070917635e-07
31300.0;0.6624624268295286,0.15594760702450242,6.474322008010466e-07
31400.0;0.66242509921215,0.15585881836390358,6.437079296720272e-07
31500.0;0.6623879230198468,0.1557736276282437,6.400229959749143e-07
31600.0;0.6623508967457301,0.15569183173811388,6.36376813183781e-07
31700.0;0.6623140189140689,0.1556132400188116,6.327688057357944e-07
31800.0;0.662277288079306,0.15553767371621027,6.29198408796165e-07
31900.0;0.6622407028251125,0.15546496544316266,6.256650680293493e-07
32000.0;0.6622042617634806,0.15539495858646243,6.221682393737433e-07
32100.0;0.6621679635338528,0.1553275066965663,6.18707388823421e-07
32200.0;0.6621318068022835,0.1552624728762442,6.152819922134667e-07
32300.0;0.6620957902606361,0.15519972917969177,6.118915350109675e-07
32400.0;0.6620599126258104,0.15513915603011408,6.085355121107496e-07
32500.0;0.6620241726389979,0.1550806416611136,6.052134276357237e-07
32600.0;0.6619885690649697,0.15502408158521624,6.019247947413421e-07
32700.0;0.6619531006913879,0.15496937809137612,5.98669135425184e-07
32800.0;0.6619177663281463,0.15491643977220837,5.954459803409049e-07
32900.0;0.6618825648067324,0.15486518108090824,5.922548686157645e-07
33000.0;0.6618474949796174,0.15481552191725526,5.890953476731254e-07
33100.0;0.6618125557196655,0.15476738724171743,5.859669730582879e-07
33200.0;0.6617777459195667,0.15472070671641816,5.828693082688608e-07
33300.0;0.6617430644912907,0.15467541437157437,5.798019245888931e-07
33400.0;0.6617085103655593,0.15463144829593256,5.767644009260937e-07
33500.0;0.6616740824913389,0.1545887503497026,5.73756323654273e-07
33600.0;0.6616397798353506,0.15454726589849924,5.707772864577457e-07
33700.0;0.661605601381599,0.15450694356683653,5.67826890180134e-07
33800.0;0.6615715461309157,0.15446773500977862,5.649047426764195e-07
33900.0;0.6615376131005203,0.15442959470141537,5.620104586683491e-07
34000.0;0.6615038013235957,0.15439247973890588,5.591436596032392e-07
34100.0;0.6614701098488792,0.15435634966091144,5.563039735159784e-07
34200.0;0.6614365377402665,0.15432116627931758,5.534910348937291e-07
34300.0;0.6614030840764288,0.15428689352322195,5.507044845441372e-07
34400.0;0.6613697479504446,0.15425349729424231,5.479439694665393e-07
34500.0;0.6613365284694417,0.1542209453322676,5.452091427256399e-07
34600.0;0.6613034247542526,0.154189207090849,5.424996633286919e-07
34700.0;0.66127043593908,0.1541582536214872,5.398151961045643e-07
34800.0;0.6612375611711739,0.1541280574661376,5.371554115865023e-07
34900.0;0.6612047996105194,0.1540985925573076,5.345199858966939e-07
35000.0;0.6611721504295326,0.154069834125176,5.319086006339946e-07
35100.0;0.6611396128127691,0.1540417586112106,5.293209427638868e-07
35200.0;0.661107185956639,0.15401434358780552,5.267567045109851e-07
35300.0;0.6610748690691319,0.1539875676835008,5.242155832535943e-07
35400.0;0.661042661369551,0.15396141051338397,5.216972814215978e-07
35500.0;0.6610105620882532,0.1539358526143076,5.192015063949945e-07
35600.0;0.6609785704663996,0.15391087538458773,5.167279704070306e-07
35700.0;0.660946685755712,0.15388646102787637,5.142763904466015e-07
35800.0;0.6609149072182372,0.1538625925009276,5.118464881654003e-07
35900.0;0.6608832341261172,0.153839253464998,5.094379897854712e-07
36000.0;0.6608516657613681,0.15381642824064476,5.070506260099267e-07
36100.0;0.6608202014156633,0.15379410176570327,5.046841319341668e-07
36200.0;0.6607888403901248,0.1537722595562411,5.023382469612046e-07
36300.0;0.6607575819951179,0.15375088767030218,5.000127147165727e-07
36400.0;0.660726425550056,0.1537299726742677,4.977072829667792e-07
36500.0;0.6606953703832055,0.15370950161167102,4.954217035385666e-07
36600.0;0.6606644158315003,0.15368946197431663,4.931557322406119e-07
36700.0;0.6606335612403597,0.15366984167556005,4.909091287864208e-07
36800.0;0.6606028059635115,0.1536506290256165,4.886816567191408e-07
36900.0;0.6605721493628198,0.15363181270877052,4.864730833380561e-07
37000.0;0.6605415908081173,0.1536133817623692,4.842831796266813e-07
37100.0;0.660511129677043,0.15359532555748373,4.8211172018204e-07
37200.0;0.6604807653548825,0.15357763378113207,4.799584831459443e-07
37300.0;0.6604504972344151,0.15356029641995916,4.778232501379763e-07
37400.0;0.6604203247157614,0.1535433037452756,4.7570580618884975e-07
